ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
BROADWAY,UNASSIGNED,COL/200/031/0058,Lighting Column 10m,Steel,SL - Column,Philips,Low P Sodium,135 watts,,Level 2,Yes,Salford 5,Weaste and Seedley Ward,10m,M30 0FZ
ELLENBROOK ROAD,UNASSIGNED,COL/301/001/0038,Lighting Column 8m,Steel,SL - Column,Philips,Low P Sodium,90 watts,,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,8m,M27 0YE
HUDDART CLOSE,UNASSIGNED,COL/047/072/0001,Lighting Column 5m,Unassigned,SL - Column,Metcraft,High P Sodium (T),70 watts,,Level 4,Yes,Salford 5,Ordsall Ward,5m,M30 9QG
HENRY STREET,UNASSIGNED,SGN/072/004/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M27 9TU
BEVERLEY ROAD,UNASSIGNED,COL/026/011/0004,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 2,Yes,Swinton,Claremont Ward,6m,M30 9FT
BRIGHT ROAD,ROAD BETWEEN 25/29,COL/069/033/0007,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M30 0SX
DEVONSHIRE STREET,OPPOSITE 20,COL/033/051/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M30 0WU
EAST LANCASHIRE ROAD,UNASSIGNED  EAST BOUND CARRIAGEWAY,COL/101/001/0239,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,12m,M27 0WD
GREEN LANE,UNASSIGNED,COL/322/001/0008,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M27 6NB
ALGERNON STREET,UNASSIGNED,COL/068/009/0005,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Eccles,Eccles Ward,5m,M30 9DR
ASTLEY ROAD,UNASSIGNED,COL/079/028/0011,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Irlam,Cadishead Ward,5m,M30 0HJ
CROFTSIDE AVENUE,ROAD OPPOSITE 1A,COL/010/043/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 3,Yes,Worsley,Walkden North Ward,6m,M27 0LF
CADISHEAD WAY,UNASSIGNED,COL/300/032/0100,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Irlam,Cadishead Ward,10m,M27 6NQ
BACK HILTON STREET,UNASSIGNED,COL/035/002/0004,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 4,Yes,Salford 7,Broughton Ward,5m,M30 9JB
CRESCENT,UNASSIGNED,SGN/200/023/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M27 5DL
