ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
HIGHFIELD DRIVE,UNASSIGNED,COL/026/008/0006,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 3,Yes,Swinton,Claremont Ward,6m,M7  4JU
DENHAM DRIVE,UNASSIGNED,COL/077/019/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M7  2DN
ECCLES NEW ROAD,ROAD NEAR HOWARD STREET,BOL/655/001/0002,Illuminated Bollard,None,SL - Bollard,F.D.I.,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M7  2AD
BROAD STREET,UNASSIGNED,SGN/200/019/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M3  6JH
EAST DRIVE,ROAD SIDE OF 157 MANCHESTER RD,COL/026/020/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Swinton,Swinton South Ward,6m,M3  4JU
ECCLES NEW ROAD,UNASSIGNED,SGN/910/005/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Ordsall Ward,,M7  2DH
HODGE ROAD,SIDE OF 26,COL/011/003/0005,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M3  5HG
DEVOKE AVENUE,BETWEEN 17 & 19,COL/012/008/0007,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,5m,M7  1LF
HOLCOMBE CLOSE F/PTHS LINK TO LIVERPOOL,ROAD REAR OF 24 HOLCOMBE CLOSE .......NO USRN....,COL/053/021/0004F,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Salford 6,Langworthy Ward,5m,M7  4DG
EAST LANCASHIRE ROAD,UNASSIGNED,SGN/201/001/0026,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M7  1RQ
EAST LANCASHIRE ROAD,UNASSIGNED,SGN/201/001/0025-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M7  1RQ
BENTCLIFFE WAY,ROAD SIDE OF MORRISONS INCOMING LOOP FROM COL 11 - OUTGOING LOOP TO CO,COL/070/001/0013,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 4,Yes,Eccles,Barton Ward,10m,M7  2DP
BOND SQUARE,UNASSIGNED,COL/034/019/0010,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Salford 7,Broughton Ward,6m,M3  6BH
EAST LANCASHIRE ROAD,UNASSIGNED,SGN/201/001/0024-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M7  1RQ
FENNEY STREET,SIDE OF PUBLIC HOUSE,COL/038/001/0003,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M7  4EL
HIGHFIELD DRIVE,UNASSIGNED,COL/026/008/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Swinton,Claremont Ward,5m,M7  4JF
BROAD STREET,UNASSIGNED,COL/200/020/0007,Lighting Column 8m,Steel,SL - Column,G.E.C.,Low P Sodium,90 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,8m,M3  6JH
CADISHEAD WAY,UNASSIGNED,COL/300/032/0031,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 2,Yes,Irlam,Irlam Ward,10m,M3  6DX
HEREVALE GRANGE,UNASSIGNED,COL/002/048/0004,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6LU
HIGHFIELD DRIVE,UNASSIGNED,COL/026/008/0010,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 4,Yes,Swinton,Claremont Ward,6m,M7  4HR
ASHLEY CRESCENT,UNASSIGNED,COL/015/056/0004,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Swinton,Worsley Ward,6m,M3  6WH
BOND SQUARE,UNASSIGNED,COL/034/019/0008,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Salford 7,Broughton Ward,6m,M3  6BH
GROSVENOR STREET,UNASSIGNED,COL/019/011/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 3,Yes,Swinton,Swinton North Ward,6m,M3  6BN
FENNEY STREET,UNASSIGNED,SGN/038/001/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M7  4RT
EAST DRIVE,UNASSIGNED,COL/027/040/0001,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,5m,M3  4JU
BINDLOSS AVENUE,UNASSIGNED,COL/068/038/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,,Level 3,Yes,Eccles,Eccles Ward,6m,M7  4HQ
BOND SQUARE,UNASSIGNED,COL/034/019/0007A,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M3  6BH
BROTHERTON DRIVE F/PTHS R/O 28/40 & 25/3,UNASSIGNED,COL/806/002/0031,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,,Yes,Salford 3,Irwell Riverside Ward,5m,M3  5LE
HEREVALE GRANGE,UNASSIGNED,COL/002/048/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6LU
HOLCOMBE CLOSE F/PTHS LINK TO LIVERPOOL,ROAD SIDE OF 26 HOLCOMBE CLOSE FOOTPATH FROM PEAR TREE COURT TO BIRLEY,COL/053/021/0005F,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Salford 6,Langworthy Ward,5m,M7  4RP
BROADWAY,UNASSIGNED,COL/200/031/0035,Lighting Column 10m,Steel,SL - Column,Thorn,Low P Sodium,135 watts,,Level 2,Yes,Salford 5,Ordsall Ward,10m,M7  4NB
DENHAM DRIVE,UNASSIGNED,COL/077/019/0004,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 3,Yes,Irlam,Irlam Ward,6m,M7  2DW
FENNEY STREET,UNASSIGNED,SGN/038/001/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M7  4FL
HELENSVILLE AVENUE,UNASSIGNED,COL/028/024/0004,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,6m,M7  1ZQ
HOUGHTON LANE,UNASSIGNED,COL/067/005/0004,LED Lighting Column 8m,Concrete,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Swinton,Worsley Ward,8m,M7  4JH
BRACKLEY ROAD,UNASSIGNED,COL/065/038/0004,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 3,Yes,Eccles,Eccles Ward,5m,M7  2AD
BRACKLEY ROAD,UNASSIGNED,COL/065/038/0005,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 2,Yes,Eccles,Worsley Ward,5m,M7  2BR
BROTHERTON DRIVE F/PTHS R/O 28/40 & 25/3,UNASSIGNED,COL/806/002/0032,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,,Yes,Salford 3,Irwell Riverside Ward,5m,M3  5LE
HIGHFIELD ROAD,UNASSIGNED,COL/006/007/0001,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,8m,M7  4HR
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0011,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Eccles,Eccles Ward,5m,M7  2YD
ECCLES NEW ROAD,UNASSIGNED,PC/300/020/0001,Pelican Crossing,Unassigned,SL - Pelican Crossing,Unassigned,Flashing Beacons (Zebra),60 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,3m,M7  2AJ
HODGE ROAD,OUTSIDE 8/10,COL/011/003/0002,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M3  7EU
CHURCH STREET,ROAD AT OR OUTSIDE ADVERTISER,COL/069/005/0005,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,8m,M3  5HG
ECCLES NEW ROAD,UNASSIGNED,COL/300/020/0001,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,10m,M7  2DH
HOPEFOLD DRIVE,UNASSIGNED,COL/011/016/0011,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden South Ward,5m,M7  4HR
BOLTON ROAD,Nr.City Walk,COL/214/001/0049A,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T+),250 watts,,,Yes,Swinton,Pendlebury Ward,10m,M7  4FF
BOND SQUARE,UNASSIGNED,COL/034/019/0011A,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M3  6BH
CADISHEAD WAY,UNASSIGNED,COL/300/032/0030,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 2,Yes,Irlam,Irlam Ward,10m,M3  6BN
FENNEY STREET,UNASSIGNED,SGN/038/001/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M7  4RT
HODGE ROAD,UNASSIGNED,SGN/011/003/0005-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M3  5HG
BOND SQUARE,UNASSIGNED,COL/034/019/0007,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Salford 7,Broughton Ward,6m,M3  6BH
BOND SQUARE,UNASSIGNED,COL/034/019/0009,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Salford 7,Broughton Ward,6m,M3  6BH
BRINELL DRIVE,UNASSIGNED,COL/080/001/0030,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T),150 watts,,Level 2,Yes,Irlam,Cadishead Ward,10m,M7  1ZN
BROAD STREET,UNASSIGNED,COL/200/019/0007,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Langworthy Ward,30m,M3  7EU
COTTENHAM LANE,UNASSIGNED,COL/039/028/0010,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M7  2ZT
DEVOKE AVENUE,UNASSIGNED,COL/012/008/0006,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 4,Yes,Worsley,Walkden South Ward,5m,M7  2YQ
GORDON ROAD,UNASSIGNED,COL/065/028/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Eccles Ward,5m,M3  6AP
BROADWAY,OUTSIDE SCANCOIN,COL/200/031/0036,Lighting Column 10m,Steel,SL - Column,Thorn,Low P Sodium,135 watts,,Level 2,Yes,Salford 5,Ordsall Ward,10m,M7  4WA
HEREFORD ROAD,ROAD AT OR OUTSIDE 2/4 HEREFORD ROAD,COL/064/003/0012,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M3  6LU
BRINELL DRIVE,UNASSIGNED,COL/080/001/0031,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T),150 watts,,Level 2,Yes,Irlam,Cadishead Ward,10m,M7  1ZL
FENNEY STREET,UNASSIGNED,COL/038/001/0002,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 2,Yes,Salford 7,Broughton Ward,8m,M7  4RT
CROMWELL ROAD,SIDE OF 347 LOWER BROUGHTON ROAD,COL/300/012/0001,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,10m,M3  5LE
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0017,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M3  6NH
HODGE ROAD,UNASSIGNED,SGN/011/003/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M3  6JH
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0010,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M7  2YD
BROAD STREET,UNASSIGNED,COL/200/019/0004,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Irwell Riverside Ward,30m,M3  6LZ
DERBY ROAD,UNASSIGNED,COL/058/013/0002,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 6,Langworthy Ward,5m,M3  6AP
BRACKLEY ROAD,UNASSIGNED,COL/065/038/0002,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Eccles Ward,5m,M7  2AD
CROMWELL ROAD,UNASSIGNED,COL/079/038/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Irlam,Cadishead Ward,6m,M3  6DP
CROMWELL ROAD,ROAD NEAR SAINT GEORGES CENTRE SITE NO. 2,DIFF/628/002/0001,Differential Pole 6m,Steel,SL - Differential Pole,Forest City,High P Mercury (Blended),160 watts,,Level 2,Yes,,,6m,M3  6DP
DERBY ROAD,UNASSIGNED,COL/058/013/0003,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 6,Langworthy Ward,5m,M7  1QE
BOND SQUARE,UNASSIGNED,COL/034/019/0006,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Salford 7,Broughton Ward,6m,M3  6BH
CROMWELL ROAD,ROAD NEAR LONDON STREET SITE NO. 3,DIFF/628/003/0001,Differential Pole 6m,Steel,SL - Differential Pole,F.D.I.,High P Mercury (Blended),160 watts,,Level 1 (Good),Yes,,,6m,M3  6BN
HEREFORD ROAD,ROAD AT OR OUTSIDE 33/35 HEREFORD ROAD,COL/064/003/0009,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M3  6LU
DERBY ROAD,ROAD NEAR MOTORWAY BRIDGE,COL/057/001/0004,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,55 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,8m,M7  1QE
DERBY ROAD,UNASSIGNED,SGN/057/001/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Weaste and Seedley Ward,,M7  1QA
BINDLOSS AVENUE,UNASSIGNED,COL/068/038/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M7  4EN
BRACKLEY ROAD,UNASSIGNED,COL/065/038/0003,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Eccles Ward,5m,M7  2BR
FELLS GROVE,UNASSIGNED,COL/012/018/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 2,Yes,Worsley,Walkden South Ward,6m,M7  4RS
HELENSVILLE AVENUE,UNASSIGNED,COL/028/024/0005,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Salford 6,Irwell Riverside Ward,6m,M7  1NF
BROAD STREET,UNASSIGNED,SGN/200/019/0006-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M3  7EU
FENNEY STREET,UNASSIGNED,COL/038/001/0001,LED Lighting Column 10m,Concrete,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 2,Yes,Salford 7,Broughton Ward,10m,M7  4FJ
HOUGHTON LANE,UNASSIGNED,COL/067/005/0003,LED Lighting Column 8m,Concrete,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Swinton,Worsley Ward,8m,M7  4JJ
BROAD STREET,UNASSIGNED,COL/200/020/0003,Lighting Column 8m,Steel,SL - Column,G.E.C.,Low P Sodium,90 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,8m,M3  7EU
DERBY ROAD,UNASSIGNED,SGN/057/001/0005-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Weaste and Seedley Ward,,M7  1RQ
ECCLES DEFINITIVE FOOTPATH 26,UNASSIGNED NO USRN,COL/073/058/0002,Lighting Column 5m,Cast Iron,SL - Column,Unknown,Low P Sodium,35 watts,,Level 4,Yes,Eccles,Winton Ward,5m,M7  2AN
BRADFIELD AVENUE,UNASSIGNED,COL/060/045/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Salford 6,Weaste and Seedley Ward,6m,M7  4EY
DEVOKE AVENUE,UNASSIGNED,COL/012/008/0005,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden South Ward,5m,M7  2YQ
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0008,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M7  2YD
BARTON LANE,UNASSIGNED,COL/325/003/0034,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,8m,M3  6AP
CADISHEAD WAY,UNASSIGNED,COL/300/032/0029,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 2,Yes,Irlam,Irlam Ward,10m,M3  6BN
CHURCH STREET,ROAD AT OR OUTSIDE PEEL STREET,BOL/659/003/0005,Illuminated Bollard,None,SL - Bollard,Forest City,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M3  5HG
DEVOKE AVENUE,UNASSIGNED,COL/012/008/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden South Ward,5m,M7  1ZN
EAST LANCASHIRE ROAD,UNASSIGNED,SGN/201/001/0023,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M7  1RQ
ECCLES DEFINITIVE FOOTPATH 18,BETWEEN CAVENDISH ROAD AND CHATSWORTH ROAD,COL/065/056/0003,Lighting Column 6m,Steel,SL - Column,Unassigned,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M7  2DH
BARNFIELD CLOSE,ROAD BETWEEN 11/12,COL/052/022/0001,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Salford 5,Langworthy Ward,5m,M3  6DB
DERBY ROAD,UNASSIGNED,SGN/057/001/0006-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Weaste and Seedley Ward,,M7  1RQ
DEVOKE AVENUE,UNASSIGNED,COL/012/008/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,5m,M7  1ZN
HOLCOMBE CLOSE F/PTHS LINK TO LIVERPOOL,ROAD AT OR OUTSIDE END OF LANGFIELD WALK FOOTPATH FROM PEAR TREE COURT,COL/053/021/0006F,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Salford 6,Langworthy Ward,5m,M7  4DX
DEVINE CLOSE,UNASSIGNED,COL/041/054/0002,Lighting Column 5m,Steel,SL - Column,Philips,High P Sodium (E),70 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M7  1ZQ
DEVOKE AVENUE,BETWEEN 4 & 6,COL/012/008/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,5m,M7  1ZQ
HEREFORD ROAD,UNASSIGNED,COL/064/003/0007A,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Eccles,Eccles Ward,5m,M3  6LU
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0016,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M3  6WH
DERBY ROAD,UNASSIGNED,COL/057/001/0010,Lighting Column 5m,Steel,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1RQ
DERWENT CLOSE,UNASSIGNED,COL/004/043/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Little Hulton Ward,5m,M7  1GQ
DEVINE CLOSE,UNASSIGNED,COL/041/054/0001,Lighting Column 5m,Steel,SL - Column,Philips,High P Sodium (E),70 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M7  1NF
HODGE ROAD,OUTSIDE 33/35,COL/011/003/0006,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M3  5HG
HOPEFOLD DRIVE,UNASSIGNED,COL/011/016/0012,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden South Ward,5m,M7  4JX
DERBY ROAD,UNASSIGNED,COL/057/001/0012,Lighting Column 5m,Steel,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1RD
DERWENT STREET,UNASSIGNED,COL/046/002/0004,Lighting Column 8m,Steel,SL - Column,G.E.C.,Low P Sodium,90 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M7  1GQ
BROADWAY,Media City Junctions.,COL/200/031/0037,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,,Yes,Salford 5,Ordsall Ward,10m,M7  4NB
DERBY ROAD,UNASSIGNED,SGN/057/001/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Weaste and Seedley Ward,,M7  1RE
DERBY ROAD,ROAD REAR OF 7/9 DRONSAY GROVE,COL/057/001/0003,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,55 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,8m,M7  1RE
DERWENT STREET,UNASSIGNED,COL/046/002/0002,Lighting Column 8m,Concrete,SL - Column,Unknown,Low P Sodium,90 watts,,Level 4,Yes,Salford 5,Ordsall Ward,8m,M7  1GQ
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0005,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M7  2YG
COTTENHAM LANE,UNASSIGNED,COL/039/028/0011,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M7  2YQ
DERBY ROAD,UNASSIGNED,COL/057/001/0014,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1SR
DERBY ROAD,UNASSIGNED,COL/057/001/0016,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1XG
DERWENT CLOSE,UNASSIGNED,COL/004/043/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M7  1XG
