Unit Type,Unit No.,Address 1,Address 2,Easting,Northing,MH - MOUNTING HEIGHT,CT - COLUMN TYPE,LT - LAMP TYPE,LW - LAMP WATTS
LIGHTING COLUMN,10,ACRESBROOK,STALYBRIDGE,397281.4,397338.68,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,11,ACRESBROOK,STALYBRIDGE,397266.58,397361.57,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,12,ACRESBROOK,STALYBRIDGE,397276.63,397376.91,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ACRESFIELD AVENUE,AUDENSHAW,390977,398219,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ACRESFIELD AVENUE,AUDENSHAW,391010,398206,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ACRESFIELD AVENUE,AUDENSHAW,391040,398202,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,ACRESFIELD AVENUE,AUDENSHAW,391074,398205,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,ACRESFIELD AVENUE,AUDENSHAW,391107,398200,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ACRESFIELD AVENUE,AUDENSHAW,391138,398188,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,7,ACRESFIELD AVENUE,AUDENSHAW,391162,398184,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ACRESFIELD ROAD,HYDE,395575,396264,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ACRESFIELD ROAD,HYDE,395577,396289,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ACRESFIELD ROAD,HYDE,395567,396325,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,ACRESFIELD ROAD,HYDE,395560,396345,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,ACRESFIELD ROAD,HYDE,395545,396370,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ACRESFIELD ROAD,HYDE,395549,396391,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ADAM STREET,ASHTON-UNDER-LYNE,394382,399133,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ADAM STREET,ASHTON-UNDER-LYNE,394373,399167,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ADAM STREET,ASHTON-UNDER-LYNE,394350,399191,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,ADAM STREET,ASHTON-UNDER-LYNE,394336,399218,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ADAMSON STREET,DUKINFIELD,394324,396878,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ADAMSON STREET,DUKINFIELD,394345,396848,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1A,ADAMSON STREET,DUKINFIELD,394326,396854,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ADDISON AVENUE,ASHTON-UNDER-LYNE,394869,399350,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ADLINGTON WAY,DENTON,393420,394241,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ADLINGTON WAY,DENTON,393409,394211,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,AINLEY WOOD,DUKINFIELD,394863,397500,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,2,AINLEY WOOD,DUKINFIELD,394867,397477,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,3,AINLEY WOOD,DUKINFIELD,394870,397452,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,AINLEY WOOD,DUKINFIELD,394874,397433,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,AINSWORTH CLOSE,DENTON,390944,395174,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,AINSWORTH CLOSE,DENTON,390920,395159,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,AINSWORTH CLOSE,DENTON,390896,395134,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ALANDALE AVENUE,AUDENSHAW,392065,397398,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ALANDALE AVENUE,AUDENSHAW,392045,397371,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ALBANY WAY,MOTTRAM,398367,395008,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
